,motor_name,motor_price,listing_type,brand,model,engine_cap,classification,reg_date,coe_exp_date,mileage,no_of_owners,type_of_vehicle
143,Honda GL1800A Goldwing,SGD$32000,Paid Ad,Honda,Honda GL1800A Goldwing,1832cc,Class 2,31/07/2015,30/07/2025 (2yrs 6mths 29days COE left),39379km,1,Sport Tourers
144,MV Agusta F3 800,SGD$17000,Paid Ad,MV Agusta,MV Agusta F3 800,798cc,Class 2,21/12/2017,20/12/2027 (4yrs 11mths 19days COE left),65681km,-,Sport Bikes
145,Honda CB400X,SGD$5999,Paid Ad,Honda,Honda CB400X,399cc,Class 2A,09/05/2014,08/05/2024 (1yrs 4mths 7days COE left),151237km,3,Sport Tourers
146,Honda RS150R,SGD$7500,Paid Ad,Honda,Honda RS150R,149cc,Class 2B,05/03/2018,04/03/2028 (5yrs 2mths 3days COE left),-,-,Cubs
147,BMW R1200GS Adventure,SGD$32800,Paid Ad,BMW,BMW R1200GS Adventure,1170cc,Class 2,23/05/2016,22/05/2026 (3yrs 4mths 21days COE left),-,3,Sport Tourers
148,Yamaha XSR155,SGD$18500,Paid Ad,Yamaha,Yamaha XSR155,155cc,Class 2B,07/10/2022,06/10/2032 (9yrs 9mths 5days COE left),-,-,Street Bikes
149,Yamaha Nmax 155,SGD$11888,Paid Ad,Yamaha,Yamaha Nmax 155,155cc,Class 2B,31/01/2020,30/01/2030 (7yrs 29days COE left),99753km,-,Scooters
150,Honda CB190R Repsol,SGD$10300,Paid Ad,Honda,Honda CB190R Repsol,184cc,Class 2B,06/12/2018,05/12/2028 (5yrs 11mths 4days COE left),33715km,-,Street Bikes
151,Peugeot Tweet 150,SGD$12999,Paid Ad,Peugeot,Peugeot Tweet 150,151cc,Class 2B,12/01/2022,11/01/2032 (9yrs 10days COE left),546km,1,Scooters
152,BMW R1200GS Adventure,SGD$16900,Paid Ad,BMW,BMW R1200GS Adventure,1170cc,Class 2,22/01/2007,21/01/2027 (4yrs 20days COE left),-,-,Sport Tourers
153,Peugeot Tweet 150,SGD$14500,Paid Ad,Peugeot,Peugeot Tweet 150,151cc,Class 2B,23/08/2022,22/08/2032 (9yrs 7mths 21days COE left),-,1,Scooters
154,Yamaha MT-15 Xabre,SGD$8800,Paid Ad,Yamaha,Yamaha MT-15 Xabre,150cc,Class 2B,27/03/2018,26/03/2028 (5yrs 2mths 25days COE left),-,-,Street Bikes
155,Yamaha Aerox 155,SGD$12500,Paid Ad,Yamaha,Yamaha Aerox 155,155cc,Class 2B,26/10/2020,25/10/2030 (7yrs 9mths 24days COE left),-,-,Scooters
156,Yamaha Aerox 155,SGD$10800,Paid Ad,Yamaha,Yamaha Aerox 155,155cc,Class 2B,17/01/2019,16/01/2029 (6yrs 15days COE left),-,-,Scooters
157,Honda CB400 Super 4 Spec 3,SGD$6800,Paid Ad,Honda,Honda CB400 Super 4 Spec 3,399cc,Class 2A,16/12/2004,31/08/2024 (1yrs 7mths 30days COE left),-,-,Street Bikes
158,Honda CB190X Tourism,SGD$9500,Paid Ad,Honda,Honda CB190X Tourism,184cc,Class 2B,24/12/2019,23/12/2029 (6yrs 11mths 22days COE left),34000km,1,Sport Tourers
159,Honda VFR1200X Crosstourer,SGD$14800,Paid Ad,Honda,Honda VFR1200X Crosstourer,1237cc,Class 2,09/05/2014,08/05/2024 (1yrs 4mths 7days COE left),-,1,Sport Tourers
160,Kawasaki ZG1400GTR Concours,SGD$28888,Paid Ad,Kawasaki,Kawasaki ZG1400GTR Concours,1352cc,Class 2,10/12/2013,09/12/2023 (11mths 8days COE left),106000km,2,Sport Tourers
161,Kawasaki Versys 1000,SGD$17000,Paid Ad,Kawasaki,Kawasaki Versys 1000,1043cc,Class 2,04/08/2016,03/08/2026 (3yrs 7mths 2days COE left),94482km,1,Sport Tourers
162,Honda Adv 150,SGD$15700,Paid Ad,Honda,Honda Adv 150,149cc,Class 2B,12/05/2021,11/05/2031 (8yrs 4mths 10days COE left),12000km,1,Scooters
163,KTM 200 Duke,SGD$14700,Paid Ad,KTM,KTM 200 Duke,200cc,Class 2B,02/09/2013,30/09/2032 (9yrs 8mths 29days COE left),-,-,Street Bikes
164,Honda Forza 300,SGD$18500,Paid Ad,Honda,Honda Forza 300,279cc,Class 2A,26/06/2020,25/06/2030 (7yrs 5mths 24days COE left),-,-,Scooters
165,Honda CB400X,SGD$7888,Paid Ad,Honda,Honda CB400X,399cc,Class 2A,31/07/2015,30/07/2025 (2yrs 6mths 29days COE left),86117km,2,Sport Tourers
166,Royal Enfield Interceptor,SGD$20588,Paid Ad,Royal Enfield,Royal Enfield Interceptor,648cc,Class 2,13/04/2022,12/04/2032 (9yrs 3mths 11days COE left),6984km,-,Street Bikes
167,Honda Adv 150,SGD$14288,Paid Ad,Honda,Honda Adv 150,149cc,Class 2B,08/12/2020,07/12/2030 (7yrs 11mths 6days COE left),48454km,-,Scooters
168,Honda CBR1000RR,SGD$42888,Paid Ad,Honda,Honda CBR1000RR,1000cc,Class 2,07/05/2019,06/05/2029 (6yrs 4mths 5days COE left),27862km,2,Sport Bikes
169,Yamaha FZ16 ST,SGD$1500,Paid Ad,Yamaha,Yamaha FZ16 ST,153cc,Class 2B,31/10/2013,30/10/2023 (9mths 29days COE left),43441km,3,Street Bikes
170,Yamaha Jupiter MX135,SGD$1200,Paid Ad,Yamaha,Yamaha Jupiter MX135,134cc,Class 2B,24/07/2013,23/07/2023 (6mths 22days COE left),-,-,Cubs
171,Royal Alloy TG300,SGD$16888,Paid Ad,Royal Alloy,Royal Alloy TG300,278cc,Class 2A,19/07/2021,18/07/2031 (8yrs 6mths 17days COE left),5200km,1,Scooters
172,Honda CB400 Super 4 Revo,SGD$12500,Paid Ad,Honda,Honda CB400 Super 4 Revo,399cc,Class 2A,14/05/2015,13/05/2025 (2yrs 4mths 12days COE left),-,-,Street Bikes
173,Yamaha XSR900,SGD$16800,Paid Ad,Yamaha,Yamaha XSR900,847cc,Class 2,15/02/2017,14/02/2027 (4yrs 1mths 13days COE left),-,1,Street Bikes
174,BMW R1200R,SGD$26800,Paid Ad,BMW,BMW R1200R,1170cc,Class 2,31/10/2012,29/10/2032 (9yrs 9mths 28days COE left),29300km,3,Street Bikes
175,BMW R1200GS,SGD$53800,Paid Ad,BMW,BMW R1200GS,1170cc,Class 2,25/06/2018,24/06/2028 (5yrs 5mths 23days COE left),9500km,-,Sport Tourers
176,Yamaha Nmax 155,SGD$13800,Paid Ad,Yamaha,Yamaha Nmax 155,155cc,Class 2B,11/12/2020,10/12/2030 (7yrs 11mths 9days COE left),31800km,-,Scooters
177,Honda CB190X Tourism,SGD$9800,Paid Ad,Honda,Honda CB190X Tourism,184cc,Class 2B,21/05/2019,20/05/2029 (6yrs 4mths 19days COE left),-,-,Sport Tourers
178,Yamaha YZF-R15,SGD$15800,Paid Ad,Yamaha,Yamaha YZF-R15,155cc,Class 2B,15/04/2021,14/04/2031 (8yrs 3mths 13days COE left),27000km,1,Sport Bikes
179,Yamaha Xmax 300,SGD$20500,Paid Ad,Yamaha,Yamaha Xmax 300,292cc,Class 2A,04/07/2022,03/07/2032 (9yrs 6mths 2days COE left),12700km,1,Scooters
180,Honda CB400X,SGD$13500,Paid Ad,Honda,Honda CB400X,399cc,Class 2A,30/05/2017,29/05/2027 (4yrs 4mths 28days COE left),-,-,Sport Tourers
181,Harley Davidson Roadster,SGD$29500,Paid Ad,Harley Davidson,Harley Davidson Roadster,1202cc,Class 2,22/10/2018,21/10/2028 (5yrs 9mths 20days COE left),-,-,Cruiser
182,BMW S1000R,SGD$35500,Paid Ad,BMW,BMW S1000R,999cc,Class 2,13/11/2018,12/11/2028 (5yrs 10mths 11days COE left),11318km,2,Street Bikes
183,Yamaha YZF-R15,SGD$5999,Paid Ad,Yamaha,Yamaha YZF-R15,150cc,Class 2B,20/02/2016,19/02/2026 (3yrs 1mths 18days COE left),85308km,1,Sport Bikes
184,Harley Davidson Street Bob,SGD$34888,Paid Ad,Harley Davidson,Harley Davidson Street Bob,1745cc,Class 2,06/03/2018,05/03/2028 (5yrs 2mths 4days COE left),21470km,-,Cruiser
185,Yamaha YZF-R1,SGD$6500,Paid Ad,Yamaha,Yamaha YZF-R1,998cc,Class 2,28/07/2005,28/02/2025 (2yrs 1mths 27days COE left),-,-,Sport Bikes
186,Honda CB400X,SGD$13500,Paid Ad,Honda,Honda CB400X,399cc,Class 2A,28/12/2017,27/12/2027 (4yrs 11mths 26days COE left),-,-,Sport Tourers
187,Yamaha MX King 150,SGD$11800,Paid Ad,Yamaha,Yamaha MX King 150,150cc,Class 2B,20/01/2020,19/01/2030 (7yrs 18days COE left),-,1,Cubs
188,Honda CB150R ExMotion,SGD$12800,Paid Ad,Honda,Honda CB150R ExMotion,149cc,Class 2B,24/12/2019,23/12/2029 (6yrs 11mths 22days COE left),35000km,1,Street Bikes
189,Yamaha Sniper 150,SGD$7800,Paid Ad,Yamaha,Yamaha Sniper 150,150cc,Class 2B,13/07/2017,12/07/2027 (4yrs 6mths 11days COE left),-,-,Cubs
190,Honda CB400X,SGD$13000,Paid Ad,Honda,Honda CB400X,399cc,Class 2A,13/04/2017,12/04/2027 (4yrs 3mths 11days COE left),92927km,-,Sport Tourers
191,Honda CB190R,SGD$7800,Paid Ad,Honda,Honda CB190R,184cc,Class 2B,03/03/2017,02/03/2027 (4yrs 2mths 1days COE left),-,-,Street Bikes
192,Yamaha MT-09,SGD$17800,Paid Ad,Yamaha,Yamaha MT-09,847cc,Class 2,21/06/2018,20/06/2028 (5yrs 5mths 19days COE left),-,2,Street Bikes
193,BMW R1150RT,SGD$8800,Paid Ad,BMW,BMW R1150RT,1130cc,Class 2,13/12/2004,31/01/2024 (1yrs 30days COE left),180000km,3,Sport Tourers
194,Honda CB400 Super 4 Revo,SGD$9800,Paid Ad,Honda,Honda CB400 Super 4 Revo,399cc,Class 2A,22/11/2014,21/11/2024 (1yrs 10mths 20days COE left),-,2,Street Bikes
195,Suzuki Burgman 200 ABS,SGD$5800,Paid Ad,Suzuki,Suzuki Burgman 200 ABS,200cc,Class 2B,03/11/2014,02/11/2024 (1yrs 10mths 1days COE left),-,2,Scooters
196,Honda Forza 300,SGD$15800,Paid Ad,Honda,Honda Forza 300,279cc,Class 2A,12/11/2018,11/11/2028 (5yrs 10mths 10days COE left),78000km,1,Scooters
197,Honda CB150R ExMotion,SGD$9888,Paid Ad,Honda,Honda CB150R ExMotion,149cc,Class 2B,26/04/2019,25/04/2029 (6yrs 3mths 24days COE left),-,-,Street Bikes
198,KTM 125 Duke,SGD$11800,Paid Ad,KTM,KTM 125 Duke,125cc,Class 2B,31/01/2020,30/01/2030 (7yrs 29days COE left),27000km,1,Street Bikes
199,Honda CBR500R,SGD$6800,Paid Ad,Honda,Honda CBR500R,471cc,Class 2,14/03/2014,13/03/2024 (1yrs 2mths 12days COE left),40000km,1,Sport Bikes
200,Ducati Scrambler 1100 Sport Pro,SGD$36300,Paid Ad,Ducati,Ducati Scrambler 1100 Sport Pro,1079cc,Class 2,04/12/2020,03/12/2030 (7yrs 11mths 2days COE left),12300km,2,Street Bikes
201,Yamaha YBR125,SGD$7880,Paid Ad,Yamaha,Yamaha YBR125,124cc,Class 2B,10/01/2013,31/12/2027 (4yrs 11mths 30days COE left),1390km,-,Street Bikes
202,Honda CB400 Super 4 Revo,SGD$19800,Paid Ad,Honda,Honda CB400 Super 4 Revo,399cc,Class 2A,03/09/2018,02/09/2028 (5yrs 8mths 1days COE left),7495km,1,Street Bikes
203,Yamaha MT-09 Tracer,SGD$14800,Paid Ad,Yamaha,Yamaha MT-09 Tracer,847cc,Class 2,06/08/2015,05/08/2025 (2yrs 7mths 4days COE left),-,3,Sport Tourers
204,Yamaha T135 Spark,SGD$8288,Paid Ad,Yamaha,Yamaha T135 Spark,135cc,Class 2B,12/03/2009,28/02/2029 (6yrs 1mths 27days COE left),962094km,3,Cubs
205,Honda CBR150R,SGD$4800,Paid Ad,Honda,Honda CBR150R,150cc,Class 2B,10/04/2013,09/04/2023 (3mths 8days COE left),80000km,1,Sport Bikes
206,Yamaha MT-10,SGD$18800,Paid Ad,Yamaha,Yamaha MT-10,998cc,Class 2,09/09/2016,08/09/2026 (3yrs 8mths 7days COE left),-,4,Street Bikes
207,Honda CB190X Tourism,SGD$9000,Paid Ad,Honda,Honda CB190X Tourism,184cc,Class 2B,08/10/2018,07/10/2028 (5yrs 9mths 6days COE left),61228km,4,Sport Tourers
208,Ducati Hyperstrada 821,SGD$10988,Paid Ad,Ducati,Ducati Hyperstrada 821,821cc,Class 2,20/03/2014,19/03/2024 (1yrs 2mths 18days COE left),59278km,-,Super Motards
209,Kawasaki Z800,SGD$7500,Paid Ad,Kawasaki,Kawasaki Z800,806cc,Class 2,13/02/2014,12/02/2024 (1yrs 1mths 11days COE left),119075km,2,Street Bikes
210,Honda CB190R,SGD$6310,Paid Ad,Honda,Honda CB190R,184cc,Class 2B,01/12/2016,30/11/2026 (3yrs 10mths 29days COE left),45100km,1,Street Bikes
211,Honda VFR1200X Crosstourer,SGD$19800,Paid Ad,Honda,Honda VFR1200X Crosstourer,1237cc,Class 2,30/05/2012,29/05/2032 (9yrs 4mths 28days COE left),-,-,Sport Tourers
212,BMW R18 Classic,SGD$46800,Paid Ad,BMW,BMW R18 Classic,1802cc,Class 2,29/09/2021,28/09/2031 (8yrs 8mths 27days COE left),2100km,1,Cruiser
213,Ducati Scrambler Sixty2,SGD$20000,Paid Ad,Ducati,Ducati Scrambler Sixty2,399cc,Class 2,21/06/2019,20/06/2029 (6yrs 5mths 19days COE left),29000km,1,Street Bikes
214,BMW R NineT Urban GS,SGD$55800,Paid Ad,BMW,BMW R NineT Urban GS,1170cc,Class 2,30/11/2022,29/11/2032 (9yrs 10mths 28days COE left),3km,-,Sport Tourers
215,Royal Enfield Continental GT,SGD$17277,Paid Ad,Royal Enfield,Royal Enfield Continental GT,648cc,Class 2,23/09/2021,22/09/2031 (8yrs 8mths 21days COE left),14000km,1,Street Bikes
216,KTM 200 Duke,SGD$17277,Paid Ad,KTM,KTM 200 Duke,200cc,Class 2B,14/05/2021,13/05/2031 (8yrs 4mths 12days COE left),25000km,1,Street Bikes
217,Honda CB400 Super 4 Revo,SGD$16800,Paid Ad,Honda,Honda CB400 Super 4 Revo,399cc,Class 2A,11/12/2017,10/12/2027 (4yrs 11mths 9days COE left),64373km,1,Street Bikes
218,Ducati Monster 1200,SGD$19500,Paid Ad,Ducati,Ducati Monster 1200,1198cc,Class 2,11/07/2014,10/07/2024 (1yrs 6mths 9days COE left),16500km,2,Street Bikes
219,Indian Springfield Dark Horse,SGD$39000,Paid Ad,Indian,Indian Springfield Dark Horse,1811cc,Class 2,09/01/2017,08/01/2027 (4yrs 7days COE left),65000km,1,Cruiser
220,ZongShen ZS200 Zone One S,SGD$7910,Paid Ad,ZongShen,ZongShen ZS200 Zone One S,199cc,Class 2B,15/04/2019,14/04/2029 (6yrs 3mths 13days COE left),45100km,1,Street Bikes
221,CFMoto 800MT Touring,SGD$34888,Paid Ad,CFMoto,CFMoto 800MT Touring,799cc,Class 2,26/05/2022,25/05/2032 (9yrs 4mths 24days COE left),7929km,-,Sport Tourers
222,Yamaha YZF-R3,SGD$13800,Paid Ad,Yamaha,Yamaha YZF-R3,321cc,Class 2A,22/11/2018,21/11/2028 (5yrs 10mths 20days COE left),-,-,Sport Bikes
223,Honda CBR1000RA,SGD$27800,Paid Ad,Honda,Honda CBR1000RA,1000cc,Class 2,24/03/2017,23/03/2027 (4yrs 2mths 22days COE left),75990km,2,Sport Bikes
224,Honda VFR800X CrossRunner,SGD$13800,Paid Ad,Honda,Honda VFR800X CrossRunner,782cc,Class 2,29/04/2015,28/04/2025 (2yrs 3mths 27days COE left),-,1,Sport Tourers
225,BMW G310GS,SGD$26800,Paid Ad,BMW,BMW G310GS,313cc,Class 2A,31/10/2022,30/10/2032 (9yrs 9mths 29days COE left),300km,1,Sport Tourers
226,KTM 1190 Adventure R,SGD$19800,Paid Ad,KTM,KTM 1190 Adventure R,1195cc,Class 2,05/05/2016,04/05/2026 (3yrs 4mths 3days COE left),65271km,1,Sport Tourers
227,Yamaha MT-09 Tracer,SGD$13800,Paid Ad,Yamaha,Yamaha MT-09 Tracer,847cc,Class 2,10/10/2015,09/10/2025 (2yrs 9mths 8days COE left),108473km,1,Sport Tourers
228,Honda CBR600RR,SGD$16800,Paid Ad,Honda,Honda CBR600RR,599cc,Class 2,14/04/2010,28/02/2029 (6yrs 1mths 27days COE left),-,3,Sport Bikes
229,Harley Davidson FLSTSB Softtail Cross Bones,SGD$29999,Paid Ad,Harley Davidson,Harley Davidson FLSTSB Softtail Cross Bones,1584cc,Class 2,31/07/2008,30/04/2027 (4yrs 3mths 29days COE left),66500km,4,Cruiser
230,Ducati Scrambler Sixty2,SGD$19800,Paid Ad,Ducati,Ducati Scrambler Sixty2,399cc,Class 2A,25/04/2019,24/04/2029 (6yrs 3mths 23days COE left),22800km,-,Street Bikes
231,BMW G310R,SGD$23800,Paid Ad,BMW,BMW G310R,313cc,Class 2A,26/04/2022,25/04/2032 (9yrs 3mths 24days COE left),5km,1,Street Bikes
232,BMW R1200R,SGD$32800,Paid Ad,BMW,BMW R1200R,1170cc,Class 2,31/03/2017,30/03/2027 (4yrs 2mths 29days COE left),34800km,1,Street Bikes
233,BMW F900R,SGD$37800,Paid Ad,BMW,BMW F900R,895cc,Class 2,30/08/2022,29/08/2032 (9yrs 7mths 28days COE left),930km,1,Street Bikes
234,Suzuki GSX-R1300 Hayabusa,SGD$22800,Paid Ad,Suzuki,Suzuki GSX-R1300 Hayabusa,1340cc,Class 2,27/09/2016,26/09/2026 (3yrs 8mths 25days COE left),-,3,Sport Bikes
235,Suzuki DRZ400SM,SGD$13800,Paid Ad,Suzuki,Suzuki DRZ400SM,398cc,Class 2A,06/03/2009,05/03/2029 (6yrs 2mths 4days COE left),-,-,Super Motards
236,Yamaha FZN150i,SGD$6800,Paid Ad,Yamaha,Yamaha FZN150i,149cc,Class 2B,09/02/2017,08/02/2027 (4yrs 1mths 7days COE left),-,-,Street Bikes
237,Honda CB190X Tourism,SGD$9800,Paid Ad,Honda,Honda CB190X Tourism,184cc,Class 2B,30/10/2018,29/10/2028 (5yrs 9mths 28days COE left),53000km,1,Sport Tourers
238,Moto Guzzi V7 III Carbon Dark,SGD$23800,Paid Ad,Moto Guzzi,Moto Guzzi V7 III Carbon Dark,744cc,Class 2,27/03/2020,26/03/2030 (7yrs 2mths 25days COE left),21000km,1,Street Bikes
239,Yamaha YZF-R15,SGD$15000,Paid Ad,Yamaha,Yamaha YZF-R15,155cc,Class 2B,09/11/2021,08/11/2031 (8yrs 10mths 7days COE left),20000km,1,Sport Bikes
240,Piaggio Fly 150,SGD$8800,Paid Ad,Piaggio,Piaggio Fly 150,151cc,Class 2B,05/08/2010,31/07/2030 (7yrs 6mths 30days COE left),78300km,-,Scooters
241,Kawasaki Z125,SGD$9888,Paid Ad,Kawasaki,Kawasaki Z125,125cc,Class 2B,06/04/2020,05/04/2030 (7yrs 3mths 4days COE left),9191km,1,Street Bikes
242,Honda CB190R,SGD$8500,Paid Ad,Honda,Honda CB190R,184cc,Class 2B,23/01/2017,22/01/2027 (4yrs 21days COE left),-,-,Street Bikes
243,Yamaha MT-15,SGD$15200,Paid Ad,Yamaha,Yamaha MT-15,155cc,Class 2B,27/09/2021,26/09/2031 (8yrs 8mths 25days COE left),28000km,1,Street Bikes
244,KTM 390 Duke,SGD$4700,Paid Ad,KTM,KTM 390 Duke,373cc,Class 2A,24/04/2014,23/04/2024 (1yrs 3mths 22days COE left),1km,-,Street Bikes
245,Honda Rebel 500,SGD$25000,Paid Ad,Honda,Honda Rebel 500,471cc,Class 2,29/07/2022,28/07/2032 (9yrs 6mths 27days COE left),1700km,-,Street Bikes
246,Honda VFR1200X Crosstourer,SGD$10800,Paid Ad,Honda,Honda VFR1200X Crosstourer,1237cc,Class 2,01/02/2013,31/01/2023 (30days COE left),-,1,Sport Tourers
247,Honda CB400F,SGD$5300,Paid Ad,Honda,Honda CB400F,399cc,Class 2A,15/01/2016,14/01/2026 (3yrs 13days COE left),-,1,Street Bikes
248,Ducati Scrambler Nightshift,SGD$31888,Paid Ad,Ducati,Ducati Scrambler Nightshift,803cc,Class 2,30/08/2021,29/08/2031 (8yrs 7mths 28days COE left),9981km,-,Street Bikes
249,Honda Adv 150,SGD$16288,Paid Ad,Honda,Honda Adv 150,149cc,Class 2B,09/09/2021,08/09/2031 (8yrs 8mths 7days COE left),7233km,-,Scooters
250,Kawasaki Z1000SX,SGD$8899,Paid Ad,Kawasaki,Kawasaki Z1000SX,1043cc,Class 2,18/03/2014,17/03/2024 (1yrs 2mths 16days COE left),107343km,2,Sport Bikes
251,Honda CBR150R,SGD$6888,Paid Ad,Honda,Honda CBR150R,150cc,Class 2B,08/11/2016,07/11/2026 (3yrs 10mths 6days COE left),47260km,-,Sport Bikes
252,Yamaha MT-15,SGD$11388,Paid Ad,Yamaha,Yamaha MT-15,155cc,Class 2B,28/09/2019,27/09/2029 (6yrs 8mths 26days COE left),79713km,-,Street Bikes
253,Yamaha Aerox 155,SGD$12388,Paid Ad,Yamaha,Yamaha Aerox 155,155cc,Class 2B,11/11/2020,10/11/2030 (7yrs 10mths 9days COE left),77853km,-,Scooters
254,Royal Enfield Himalayan,SGD$15888,Paid Ad,Royal Enfield,Royal Enfield Himalayan,411cc,Class 2,01/12/2020,30/11/2030 (7yrs 10mths 29days COE left),7174km,1,Street Bikes
255,Yamaha Tmax 530,SGD$12800,Paid Ad,Yamaha,Yamaha Tmax 530,530cc,Class 2,04/07/2015,03/07/2025 (2yrs 6mths 2days COE left),61000km,1,Scooters
256,Triumph Speed Twin,SGD$36800,Paid Ad,Triumph,Triumph Speed Twin,1197cc,Class 2,04/03/2022,03/03/2032 (9yrs 2mths 2days COE left),700km,-,Street Bikes
257,Yamaha FZ8-S,SGD$9800,Paid Ad,Yamaha,Yamaha FZ8-S,779cc,Class 2,23/12/2010,31/07/2030 (7yrs 6mths 30days COE left),-,-,Street Bikes
258,Yamaha Nmax 155,SGD$10888,Paid Ad,Yamaha,Yamaha Nmax 155,155cc,Class 2B,18/06/2019,17/06/2029 (6yrs 5mths 16days COE left),122477km,-,Scooters
259,Honda CB400 Super 4 Spec 3,SGD$6588,Paid Ad,Honda,Honda CB400 Super 4 Spec 3,399cc,Class 2A,18/09/2004,31/08/2024 (1yrs 7mths 30days COE left),-,-,Street Bikes
260,Lambretta V200 Special,SGD$12800,Paid Ad,Lambretta,Lambretta V200 Special,169cc,Class 2B,27/12/2019,26/12/2029 (6yrs 11mths 25days COE left),2100km,1,Scooters
261,BMW K1300GT,SGD$29500,Paid Ad,BMW,BMW K1300GT,1293cc,Class 2,23/07/2010,22/07/2030 (7yrs 6mths 21days COE left),31479km,-,Sport Tourers
262,Honda CB190SS,SGD$15800,Paid Ad,Honda,Honda CB190SS,184cc,Class 2B,04/05/2021,03/05/2031 (8yrs 4mths 2days COE left),6900km,2,Street Bikes
263,Honda CB400X,SGD$22950,Paid Ad,Honda,Honda CB400X,399cc,Class 2A,26/11/2021,25/11/2031 (8yrs 10mths 24days COE left),3000km,1,Sport Tourers
264,Honda Adv 150,SGD$13800,Paid Ad,Honda,Honda Adv 150,149cc,Class 2B,30/01/2020,29/01/2030 (7yrs 28days COE left),-,-,Scooters
265,Harley Davidson Fat Boy 114,SGD$56900,Paid Ad,Harley Davidson,Harley Davidson Fat Boy 114,1868cc,Class 2,23/02/2022,22/02/2032 (9yrs 1mths 21days COE left),2400km,-,Cruiser
266,Honda CB400 Super 4 Revo,SGD$19000,Paid Ad,Honda,Honda CB400 Super 4 Revo,399cc,Class 2A,26/11/2012,25/11/2032 (9yrs 10mths 24days COE left),-,-,Street Bikes
267,SYM Jet 14 200i ABS,SGD$8800,Paid Ad,SYM,SYM Jet 14 200i ABS,169cc,Class 2B,31/05/2019,30/05/2029 (6yrs 4mths 29days COE left),34677km,1,Scooters
268,Vespa SPRI,SGD$10888,Paid Ad,Vespa,Vespa SPRI,150cc,Class 2B,21/06/1978,29/03/2032 (9yrs 2mths 28days COE left),96529km,2,Scooters
269,Suzuki GSX-R1000,SGD$17888,Paid Ad,Suzuki,Suzuki GSX-R1000,999cc,Class 2,30/01/2008,31/12/2027 (4yrs 11mths 30days COE left),100000km,3,Sport Bikes
270,Yamaha Xmax 300,SGD$20900,Paid Ad,Yamaha,Yamaha Xmax 300,292cc,Class 2A,21/07/2021,20/07/2031 (8yrs 6mths 19days COE left),-,-,Scooters
271,BMW G310GS,SGD$15888,Paid Ad,BMW,BMW G310GS,313cc,Class 2A,26/02/2019,25/02/2029 (6yrs 1mths 24days COE left),26448km,-,Sport Tourers
272,BMW R1200CL,SGD$17000,Paid Ad,BMW,BMW R1200CL,1170cc,Class 2,26/02/2005,25/02/2025 (2yrs 1mths 24days COE left),90000km,2,Cruiser
273,BMW R1200ST,SGD$17500,Paid Ad,BMW,BMW R1200ST,1170cc,Class 2,12/02/2007,11/02/2027 (4yrs 1mths 10days COE left),38888km,2,Sport Tourers
274,BMW F800GS,SGD$22800,Paid Ad,BMW,BMW F800GS,798cc,Class 2,11/01/2012,19/02/2032 (9yrs 1mths 18days COE left),88113km,3,Sport Tourers
275,Yamaha XT1200Z Super Tenere,SGD$16800,Paid Ad,Yamaha,Yamaha XT1200Z Super Tenere,1199cc,Class 2,21/05/2011,20/05/2031 (8yrs 4mths 19days COE left),180000km,1,Sport Tourers
276,Honda VFR800X CrossRunner,SGD$13800,Paid Ad,Honda,Honda VFR800X CrossRunner,782cc,Class 2,09/04/2015,08/04/2025 (2yrs 3mths 7days COE left),-,3,Sport Tourers
277,Honda CB400 Super 4 Revo,SGD$19500,Paid Ad,Honda,Honda CB400 Super 4 Revo,399cc,Class 2A,30/08/2013,29/08/2023 (7mths 28days COE left),110000km,1,Street Bikes
278,Honda GL1800A Goldwing,SGD$38800,Paid Ad,Honda,Honda GL1800A Goldwing,1832cc,Class 2,06/06/2014,05/06/2024 (1yrs 5mths 4days COE left),69737km,2,Sport Tourers
279,Honda CB150R ExMotion,SGD$16700,Paid Ad,Honda,Honda CB150R ExMotion,149cc,Class 2B,06/12/2021,05/12/2031 (8yrs 11mths 4days COE left),-,-,Street Bikes
280,Daelim XQ250,SGD$13500,Paid Ad,Daelim,Daelim XQ250,247cc,Class 2A,04/07/2019,03/07/2029 (6yrs 6mths 2days COE left),14000km,1,Scooters
281,Honda CBR1000RR,SGD$14500,Paid Ad,Honda,Honda CBR1000RR,999cc,Class 2,18/02/2014,17/02/2024 (1yrs 1mths 16days COE left),81098km,-,Sport Bikes
282,Honda VFR800X CrossRunner,SGD$15888,Paid Ad,Honda,Honda VFR800X CrossRunner,782cc,Class 2,27/07/2012,26/07/2032 (9yrs 6mths 25days COE left),95445km,-,Sport Tourers
283,Yamaha XSR155,SGD$16800,Paid Ad,Yamaha,Yamaha XSR155,155cc,Class 2B,20/04/2021,19/04/2031 (8yrs 3mths 18days COE left),-,-,Street Bikes
284,MV Agusta Brutale 800,SGD$29888,Paid Ad,MV Agusta,MV Agusta Brutale 800,798cc,Class 2,05/07/2019,04/07/2029 (6yrs 6mths 3days COE left),9400km,1,Street Bikes
285,Honda NC750X,SGD$6200,Paid Ad,Honda,Honda NC750X,745cc,Class 2,20/06/2014,19/06/2024 (1yrs 5mths 18days COE left),-,-,Sport Tourers
286,Yamaha MT-15,SGD$13800,Paid Ad,Yamaha,Yamaha MT-15,155cc,Class 2B,18/01/2021,17/01/2031 (8yrs 16days COE left),46000km,1,Street Bikes
