,motor_name,motor_price,listing_type,brand,model,engine_cap,classification,reg_date,coe_exp_date,mileage,no_of_owners,type_of_vehicle
840,CFMoto 650GT,0,-,CFMoto,CFMoto 650GT,649cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
841,CFMoto 650MT,0,-,CFMoto,CFMoto 650MT,650cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
842,CFMoto 650NK,0,-,CFMoto,CFMoto 650NK,650cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
843,CFMoto 700CL-X Heritage,0,-,CFMoto,CFMoto 700CL-X Heritage,693cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
844,CFMoto 700CL-X Sport,0,-,CFMoto,CFMoto 700CL-X Sport,693cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
845,CFMoto 800MT Touring,0,-,CFMoto,CFMoto 800MT Touring,799cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
846,CPI Aragon 125,0,-,CPI,CPI Aragon 125,124cc,Class 2B,00/00/00,00/00/00,0km,0,Scooters
847,CPI Oliver 125,0,-,CPI,CPI Oliver 125,124cc,Class 2B,00/00/00,00/00/00,0km,0,Scooters
848,CPI SM125,0,-,CPI,CPI SM125,124cc,Class 2B,00/00/00,00/00/00,0km,0,Super Motards
849,CPI SM250,0,-,CPI,CPI SM250,250cc,Class 2A,00/00/00,00/00/00,0km,0,Super Motards
850,CPI VGO,0,-,CPI,CPI VGO,124cc,Class 2B,00/00/00,00/00/00,0km,0,Scooters
851,CPI XR125,0,-,CPI,CPI XR125,124cc,Class 2B,00/00/00,00/00/00,0km,0,Street Bikes
852,CPI XR250,0,-,CPI,CPI XR250,227cc,Class 2A,00/00/00,00/00/00,0km,0,Street Bikes
853,Daelim B-bone 125,0,-,Daelim,Daelim B-bone 125,124cc,Class 2B,00/00/00,00/00/00,0km,0,Scooters
854,Daelim CB115,0,-,Daelim,Daelim CB115,113cc,Class 2B,00/00/00,00/00/00,0km,0,Cubs
855,Daelim Daystar XS150,0,-,Daelim,Daelim Daystar XS150,150cc,Class 2B,00/00/00,00/00/00,0km,0,Cruiser
856,Daelim Roadwin R 125,0,-,Daelim,Daelim Roadwin R 125,124cc,Class 2B,00/00/00,00/00/00,0km,0,Sport Bikes
857,Daelim Roadwin R 250,0,-,Daelim,Daelim Roadwin R 250,246cc,Class 2A,00/00/00,00/00/00,0km,0,Sport Bikes
858,Daelim S3 SV125,0,-,Daelim,Daelim S3 SV125,124cc,Class 2B,00/00/00,00/00/00,0km,0,Scooters
859,Daelim XQ125,0,-,Daelim,Daelim XQ125,125cc,Class 2B,00/00/00,00/00/00,0km,0,Scooters
860,Daelim XQ250,0,-,Daelim,Daelim XQ250,247cc,Class 2A,00/00/00,00/00/00,0km,0,Scooters
