,motor_name,motor_price,Brand,model,engine_cap_x,classification,type_of_vehicle,Model,Year,Category,engine_cap_y,Power (hp),Engine cylinder,Engine stroke,Gearbox,Fuel capacity (lts),Transmission type,Front brakes,Rear brakes,Front suspension,Rear suspension
42,Yamaha XSR900,16800,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2020,Classic,847.0,113.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,Telescopic forks,"Single shock, adjustable preload and rebound damping"
43,Yamaha XSR900,16800,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2021,Classic,847.0,113.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,"41mm inverted fork, adjustable preload and rebound damping","Single shock, adjustable preload and rebound damping"
44,Yamaha XSR900,16800,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2022,Classic,847.0,119.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,Telescopic fork,Swingarm
45,Yamaha XSR900,19888,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2016,Classic,847.0,115.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. Hydraulic. ,Single disc. Hydraulic. ,Telescopic forks,Link type suspension
46,Yamaha XSR900,19888,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2017,Classic,847.0,115.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. Hydraulic. ,Single disc. Hydraulic. ,Telescopic forks,Link type suspension
47,Yamaha XSR900,19888,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2018,Classic,847.0,115.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,"41mm inverted fork, adjustable preload and rebound damping","Single shock, adjustable preload and rebound damping"
48,Yamaha XSR900,19888,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2019,Classic,847.0,113.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,Telescopic forks,"Single shock, adjustable preload and rebound damping"
49,Yamaha XSR900,19888,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2020,Classic,847.0,113.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,Telescopic forks,"Single shock, adjustable preload and rebound damping"
50,Yamaha XSR900,19888,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2021,Classic,847.0,113.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,"41mm inverted fork, adjustable preload and rebound damping","Single shock, adjustable preload and rebound damping"
51,Yamaha XSR900,19888,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2022,Classic,847.0,119.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,Telescopic fork,Swingarm
52,Yamaha XSR900,24000,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2016,Classic,847.0,115.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. Hydraulic. ,Single disc. Hydraulic. ,Telescopic forks,Link type suspension
53,Yamaha XSR900,24000,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2017,Classic,847.0,115.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. Hydraulic. ,Single disc. Hydraulic. ,Telescopic forks,Link type suspension
54,Yamaha XSR900,24000,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2018,Classic,847.0,115.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,"41mm inverted fork, adjustable preload and rebound damping","Single shock, adjustable preload and rebound damping"
55,Yamaha XSR900,24000,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2019,Classic,847.0,113.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,Telescopic forks,"Single shock, adjustable preload and rebound damping"
56,Yamaha XSR900,24000,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2020,Classic,847.0,113.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,Telescopic forks,"Single shock, adjustable preload and rebound damping"
57,Yamaha XSR900,24000,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2021,Classic,847.0,113.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,"41mm inverted fork, adjustable preload and rebound damping","Single shock, adjustable preload and rebound damping"
58,Yamaha XSR900,24000,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2022,Classic,847.0,119.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,Telescopic fork,Swingarm
59,Honda PCX150,9222,honda,Honda PCX150,153,Class 2B,Scooters,pcx150,2013,Scooter,153.0,,Single cylinder, four-stroke,Automatic,6.06,Belt,Single disc,Expanding brake (drum brake),31mm hydraulic fork,"Unit swingarm, 3.1 inches of travel"
60,Honda PCX150,9222,honda,Honda PCX150,153,Class 2B,Scooters,pcx150,2014,Scooter,153.0,,Single cylinder, four-stroke,Automatic,6.06,Belt,Single disc,Expanding brake (drum brake),31mm hydraulic fork,"Unit swingarm, 3.1 inches of travel"
61,Honda PCX150,9222,honda,Honda PCX150,153,Class 2B,Scooters,pcx150,2015,Scooter,153.0,,Single cylinder, four-stroke,Automatic,6.06,Belt,Single disc,Expanding brake (drum brake),31mm hydraulic fork,"Unit swingarm, 3.1 inches of travel"
62,Honda PCX150,9222,honda,Honda PCX150,153,Class 2B,Scooters,pcx150,2016,Scooter,153.0,,Single cylinder, four-stroke,Automatic,6.06,Belt,Single disc. CBS,Expanding brake (drum brake). CBS,31mm hydraulic fork,"Unit swingarm, 3.1 inches of travel"
63,Honda PCX150,9222,honda,Honda PCX150,153,Class 2B,Scooters,pcx150,2017,Scooter,153.0,,Single cylinder, four-stroke,Automatic,6.06,Belt,Single disc. CBS,Expanding brake (drum brake). CBS,31mm hydraulic fork,"Unit swingarm, 3.1 inches of travel"
64,Honda PCX150,9222,honda,Honda PCX150,153,Class 2B,Scooters,pcx150,2018,Scooter,153.0,,Single cylinder, four-stroke,Automatic,6.06,Belt,Single disc. CBS,Expanding brake (drum brake). CBS,31mm hydraulic fork,Twin suspension aluminium swingarm
65,Honda PCX150,9222,honda,Honda PCX150,153,Class 2B,Scooters,pcx150,2019,Scooter,149.0,,Single cylinder, four-stroke,Automatic,6.06,Belt,Single disc. CBS,Expanding brake (drum brake). CBS,31mm hydraulic fork,Twin suspension aluminium swingarm
66,Honda PCX150,9222,honda,Honda PCX150,153,Class 2B,Scooters,pcx150,2020,Scooter,149.0,,Single cylinder, four-stroke,Automatic,7.95,Belt,Single disc. CBS,Expanding brake (drum brake). CBS,31mm hydraulic fork,Twin suspension aluminium swingarm
67,Honda PCX150,3388,honda,Honda PCX150,153,Class 2B,Scooters,pcx150,2013,Scooter,153.0,,Single cylinder, four-stroke,Automatic,6.06,Belt,Single disc,Expanding brake (drum brake),31mm hydraulic fork,"Unit swingarm, 3.1 inches of travel"
68,Honda PCX150,3388,honda,Honda PCX150,153,Class 2B,Scooters,pcx150,2014,Scooter,153.0,,Single cylinder, four-stroke,Automatic,6.06,Belt,Single disc,Expanding brake (drum brake),31mm hydraulic fork,"Unit swingarm, 3.1 inches of travel"
69,Honda PCX150,3388,honda,Honda PCX150,153,Class 2B,Scooters,pcx150,2015,Scooter,153.0,,Single cylinder, four-stroke,Automatic,6.06,Belt,Single disc,Expanding brake (drum brake),31mm hydraulic fork,"Unit swingarm, 3.1 inches of travel"
70,Honda PCX150,3388,honda,Honda PCX150,153,Class 2B,Scooters,pcx150,2016,Scooter,153.0,,Single cylinder, four-stroke,Automatic,6.06,Belt,Single disc. CBS,Expanding brake (drum brake). CBS,31mm hydraulic fork,"Unit swingarm, 3.1 inches of travel"
71,Honda PCX150,3388,honda,Honda PCX150,153,Class 2B,Scooters,pcx150,2017,Scooter,153.0,,Single cylinder, four-stroke,Automatic,6.06,Belt,Single disc. CBS,Expanding brake (drum brake). CBS,31mm hydraulic fork,"Unit swingarm, 3.1 inches of travel"
