,motor_name,motor_price,Brand,model,engine_cap,classification,type_of_vehicle
872,Ducati Monster 1200,0,ducati,Ducati Monster 1200,1198,Class 2,Street Bikes
873,Ducati Monster 1200 25°Anniversario,0,ducati,Ducati Monster 1200 25°Anniversario,1198,Class 2,Street Bikes
874,Ducati Monster 1200R,0,ducati,Ducati Monster 1200R,1198,Class 2,Street Bikes
875,Ducati Monster 1200S,0,ducati,Ducati Monster 1200S,1198,Class 2,Street Bikes
876,Ducati Monster 797,0,ducati,Ducati Monster 797,803,Class 2,Street Bikes
877,Ducati Monster 821,0,ducati,Ducati Monster 821,821,Class 2,Street Bikes
878,Ducati Monster 937,0,ducati,Ducati Monster 937,937,Class 2,Street Bikes
879,Ducati Multistrada 1260,0,ducati,Ducati Multistrada 1260,1262,Class 2,Sport Tourers
880,Ducati Multistrada 1260 Enduro,0,ducati,Ducati Multistrada 1260 Enduro,1262,Class 2,Sport Tourers
881,Ducati Multistrada 950,0,ducati,Ducati Multistrada 950,937,Class 2,Sport Tourers
882,Ducati Multistrada V4,0,ducati,Ducati Multistrada V4,1158,Class 2,Sport Tourers
883,Ducati Panigale V2,0,ducati,Ducati Panigale V2,955,Class 2,Sport Bikes
884,Ducati Panigale V4,0,ducati,Ducati Panigale V4,1103,Class 2,Sport Bikes
885,Ducati Panigale V4 R,0,ducati,Ducati Panigale V4 R,998,Class 2,Sport Bikes
886,Ducati Panigale V4 Speciale,0,ducati,Ducati Panigale V4 Speciale,1103,Class 2,Sport Bikes
887,Ducati Scrambler 1100,0,ducati,Ducati Scrambler 1100,1079,Class 2,Street Bikes
888,Ducati Scrambler 1100 Special,0,ducati,Ducati Scrambler 1100 Special,1079,Class 2,Street Bikes
889,Ducati Scrambler 1100 Sport,0,ducati,Ducati Scrambler 1100 Sport,1079,Class 2,Street Bikes
890,Ducati Scrambler Cafe Racer,0,ducati,Ducati Scrambler Cafe Racer,803,Class 2,Street Bikes
891,Ducati Scrambler Classic,0,ducati,Ducati Scrambler Classic,803,Class 2,Street Bikes
892,Ducati Scrambler Desert Sled,0,ducati,Ducati Scrambler Desert Sled,803,Class 2,Street Bikes
893,Ducati Scrambler Full Throttle,0,ducati,Ducati Scrambler Full Throttle,803,Class 2,Street Bikes
894,Ducati Scrambler Icon,0,ducati,Ducati Scrambler Icon,803,Class 2,Street Bikes
895,Ducati Scrambler Mach 2.0,0,ducati,Ducati Scrambler Mach 2.0,803,Class 2,Street Bikes
896,Ducati Scrambler Sixty2,0,ducati,Ducati Scrambler Sixty2,399,Class 2A,Street Bikes
897,Ducati Scrambler Street Classic,0,ducati,Ducati Scrambler Street Classic,803,Class 2,Street Bikes
898,Ducati Streetfighter V4,0,ducati,Ducati Streetfighter V4,1103,Class 2,Street Bikes
899,Ducati Superleggera V4,0,ducati,Ducati Superleggera V4,998,Class 2,Sport Bikes
900,Ducati SuperSport,0,ducati,Ducati SuperSport,937,Class 2,Sport Bikes
901,Ducati SuperSport S,0,ducati,Ducati SuperSport S,937,Class 2,Sport Bikes
902,Ducati XDiavel,0,ducati,Ducati XDiavel,1262,Class 2,Street Bikes
903,Ducati XDiavel Black Star,0,ducati,Ducati XDiavel Black Star,1262,Class 2,Street Bikes
904,Ducati XDiavel S,0,ducati,Ducati XDiavel S,1262,Class 2,Street Bikes
905,Gilera Fuoco 500 I.E.,0,gilera,Gilera Fuoco 500 I.E.,493,Class 2,Three Wheeler
906,Gilera ST200 Runner,0,gilera,Gilera ST200 Runner,198,Class 2B,Scooters
907,Harley Davidson 1200 Custom,0,harley davidson,Harley Davidson 1200 Custom,1202,Class 2,Cruiser
908,Harley Davidson Breakout,0,harley davidson,Harley Davidson Breakout,1868,Class 2,Cruiser
909,Harley Davidson CVO Limited,0,harley davidson,Harley Davidson CVO Limited,1923,Class 2,Cruiser
910,Harley Davidson CVO Road Glide,0,harley davidson,Harley Davidson CVO Road Glide,1923,Class 2,Cruiser
911,Harley Davidson CVO Street Glide,0,harley davidson,Harley Davidson CVO Street Glide,1923,Class 2,Cruiser
912,Harley Davidson Deluxe,0,harley davidson,Harley Davidson Deluxe,1745,Class 2,Cruiser
913,Harley Davidson Electra Glide Ultra Classic,0,harley davidson,Harley Davidson Electra Glide Ultra Classic,1746,Class 2,Cruiser
914,Harley Davidson Fat Bob,0,harley davidson,Harley Davidson Fat Bob,1745,Class 2,Cruiser
915,Harley Davidson Fat Boy,0,harley davidson,Harley Davidson Fat Boy,1745,Class 2,Cruiser
916,Harley Davidson Forty-Eight,0,harley davidson,Harley Davidson Forty-Eight,1202,Class 2,Cruiser
917,Harley Davidson Forty-Eight Special,0,harley davidson,Harley Davidson Forty-Eight Special,1202,Class 2,Cruiser
918,Harley Davidson Freewheeler,0,harley davidson,Harley Davidson Freewheeler,1868,Class 2,Three Wheeler
919,Harley Davidson FXDR 114,0,harley davidson,Harley Davidson FXDR 114,1868,Class 2,Cruiser
920,Harley Davidson Heritage Classic,0,harley davidson,Harley Davidson Heritage Classic,1745,Class 2,Cruiser
921,Harley Davidson Iron 1200,0,harley davidson,Harley Davidson Iron 1200,1202,Class 2,Cruiser
922,Harley Davidson Iron 883,0,harley davidson,Harley Davidson Iron 883,883,Class 2,Cruiser
923,Harley Davidson LiveWire,0,harley davidson,Harley Davidson LiveWire,0,Class 2,Street Bikes
924,Harley Davidson Low Rider,0,harley davidson,Harley Davidson Low Rider,1745,Class 2,Cruiser
925,Harley Davidson Road Glide,0,harley davidson,Harley Davidson Road Glide,1745,Class 2,Cruiser
926,Harley Davidson Road Glide Special,0,harley davidson,Harley Davidson Road Glide Special,1868,Class 2,Cruiser
927,Harley Davidson Road Glide Ultra,0,harley davidson,Harley Davidson Road Glide Ultra,1746,Class 2,Cruiser
928,Harley Davidson Road King,0,harley davidson,Harley Davidson Road King,1745,Class 2,Cruiser
929,Harley Davidson Road King Special,0,harley davidson,Harley Davidson Road King Special,1745,Class 2,Cruiser
930,Harley Davidson Roadster,0,harley davidson,Harley Davidson Roadster,1202,Class 2,Cruiser
931,Harley Davidson Softail Slim,0,harley davidson,Harley Davidson Softail Slim,1745,Class 2,Cruiser
932,Harley Davidson Sport Glide,0,harley davidson,Harley Davidson Sport Glide,1745,Class 2,Cruiser
933,Harley Davidson Street 500,0,harley davidson,Harley Davidson Street 500,494,Class 2,Cruiser
934,Harley Davidson Street 750,0,harley davidson,Harley Davidson Street 750,749,Class 2,Street Bikes
935,Harley Davidson Street Bob,0,harley davidson,Harley Davidson Street Bob,1745,Class 2,Cruiser
936,Harley Davidson Street Glide,0,harley davidson,Harley Davidson Street Glide,1745,Class 2,Cruiser
937,Harley Davidson Street Glide Special,0,harley davidson,Harley Davidson Street Glide Special,1868,Class 2,Cruiser
938,Harley Davidson Street Rod,0,harley davidson,Harley Davidson Street Rod,749,Class 2,Cruiser
939,Harley Davidson SuperLow,0,harley davidson,Harley Davidson SuperLow,883,Class 2,Cruiser
940,Harley Davidson Tri Glide Ultra,0,harley davidson,Harley Davidson Tri Glide Ultra,1868,Class 2,Three Wheeler
941,Harley Davidson Ultra Limited,0,harley davidson,Harley Davidson Ultra Limited,1746,Class 2,Cruiser
942,Harley Davidson Ultra Limited Low,0,harley davidson,Harley Davidson Ultra Limited Low,1746,Class 2,Cruiser
943,Honda Adv 150,0,honda,Honda Adv 150,150,Class 2B,Scooters
944,Honda Adv 150,0,honda,Honda Adv 150,150,Class 2B,Scooters
945,Honda Adv 160,0,honda,Honda Adv 160,157,Class 2B,Scooters
946,Honda Adv 160,0,honda,Honda Adv 160,157,Class 2B,Scooters
947,Honda Adv 350,0,honda,Honda Adv 350,330,Class 2A,Scooters
948,Honda CB1000R,0,honda,Honda CB1000R,998,Class 2,Street Bikes
949,Honda CB1000R,0,honda,Honda CB1000R,998,Class 2,Street Bikes
950,Honda CB1100,0,honda,Honda CB1100,1140,Class 2,Street Bikes
951,Honda CB1100 EX,0,honda,Honda CB1100 EX,1140,Class 2,Street Bikes
952,Honda CB125F,0,honda,Honda CB125F,125,Class 2B,Street Bikes
953,Honda CB125F,0,honda,Honda CB125F,125,Class 2B,Street Bikes
954,Honda CB125R,0,honda,Honda CB125R,125,Class 2B,Street Bikes
955,Honda CB125R,0,honda,Honda CB125R,125,Class 2B,Street Bikes
956,Honda CB1300 Super 4 SP 30th Anniversary,0,honda,Honda CB1300 Super 4 SP 30th Anniversary,1284,Class 2,Street Bikes
957,Honda CB1300 Super Bold'or SP 30th Anniversary,0,honda,Honda CB1300 Super Bold'or SP 30th Anniversary,1284,Class 2,Street Bikes
958,Honda CB150R ExMotion,0,honda,Honda CB150R ExMotion,149,Class 2B,Street Bikes
959,Honda CB150R Streetster,0,honda,Honda CB150R Streetster,149,Class 2B,Street Bikes
960,Honda CB150X,0,honda,Honda CB150X,149,Class 2B,Sport Tourers
961,Honda CB190R,0,honda,Honda CB190R,184,Class 2B,Street Bikes
962,Honda CB190R,0,honda,Honda CB190R,184,Class 2B,Street Bikes
963,Honda CB190R Repsol,0,honda,Honda CB190R Repsol,184,Class 2B,Street Bikes
964,Honda CB190SS,0,honda,Honda CB190SS,184,Class 2B,Street Bikes
965,Honda CB190X Tourism,0,honda,Honda CB190X Tourism,184,Class 2B,Sport Tourers
966,Honda CB200X,0,honda,Honda CB200X,184,Class 2B,Sport Tourers
967,Honda CB300F,0,honda,Honda CB300F,286,Class 2A,Street Bikes
968,Honda CB300R,0,honda,Honda CB300R,286,Class 2A,Street Bikes
969,Honda CB350 Hness,0,honda,Honda CB350 Hness,348,Class 2A,Street Bikes
970,Honda CB400 Super 4 Revo,0,honda,Honda CB400 Super 4 Revo,399,Class 2A,Street Bikes
971,Honda CB400 Super 4 Revo,0,honda,Honda CB400 Super 4 Revo,399,Class 2A,Street Bikes
972,Honda CB400 Super 4 SE Bold'or,0,honda,Honda CB400 Super 4 SE Bold'or,399,Class 2A,Street Bikes
973,Honda CB400F,0,honda,Honda CB400F,399,Class 2A,Street Bikes
974,Honda CB400X,0,honda,Honda CB400X,399,Class 2A,Sport Tourers
975,Honda CB400X,0,honda,Honda CB400X,399,Class 2A,Sport Tourers
976,Honda CB500F,0,honda,Honda CB500F,471,Class 2,Street Bikes
977,Honda CB500X,0,honda,Honda CB500X,471,Class 2,Sport Tourers
978,Honda CB650F,0,honda,Honda CB650F,649,Class 2,Street Bikes
979,Honda CB650R,0,honda,Honda CB650R,649,Class 2,Street Bikes
980,Honda CBF150,0,honda,Honda CBF150,149,Class 2B,Street Bikes
981,Honda CBF190TR Scrambler,0,honda,Honda CBF190TR Scrambler,184,Class 2B,Street Bikes
982,Honda CBF190X Fighthawk,0,honda,Honda CBF190X Fighthawk,184,Class 2B,Sport Tourers
983,Honda CBR1000R Fireblade,0,honda,Honda CBR1000R Fireblade,999,Class 2,Sport Bikes
984,Honda CBR1000RR,0,honda,Honda CBR1000RR,999,Class 2,Sport Bikes
985,Honda CBR1000RR SP1,0,honda,Honda CBR1000RR SP1,999,Class 2,Sport Bikes
986,Honda CBR150R,0,honda,Honda CBR150R,149,Class 2B,Sport Bikes
987,Honda CBR250R,0,honda,Honda CBR250R,249,Class 2A,Sport Bikes
988,Honda CBR250RR,0,honda,Honda CBR250RR,249,Class 2A,Sport Bikes
989,Honda CBR300R,0,honda,Honda CBR300R,286,Class 2A,Sport Bikes
990,Honda CBR400R,0,honda,Honda CBR400R,399,Class 2A,Sport Bikes
991,Honda CBR500R,0,honda,Honda CBR500R,471,Class 2,Sport Bikes
992,Honda CBR600RR,0,honda,Honda CBR600RR,599,Class 2,Sport Bikes
993,Honda CBR650F,0,honda,Honda CBR650F,649,Class 2,Sport Bikes
994,Honda CBR650R,0,honda,Honda CBR650R,649,Class 2,Sport Bikes
995,Honda CRF1000L Africa Twin,0,honda,Honda CRF1000L Africa Twin,998,Class 2,Sport Tourers
996,Honda CRF1000L Africa Twin Adventure Sports,0,honda,Honda CRF1000L Africa Twin Adventure Sports,998,Class 2,Sport Tourers
997,Honda CRF1100 Africa Twin,0,honda,Honda CRF1100 Africa Twin,1084,Class 2,Sport Tourers
998,Honda CRF1100 Africa Twin Adventure Sports,0,honda,Honda CRF1100 Africa Twin Adventure Sports,1084,Class 2,Sport Tourers
999,Honda CRF190L,0,honda,Honda CRF190L,184,Class 2B,Sport Tourers
1000,Honda CRF250L,0,honda,Honda CRF250L,249,Class 2A,Scrambler/Dirt Bike
1001,Honda CRF250R,0,honda,Honda CRF250R,249,Class 2A,Scrambler/Dirt Bike
1002,Honda CRF250X,0,honda,Honda CRF250X,249,Class 2A,Scrambler/Dirt Bike
1003,Honda CRF300L,0,honda,Honda CRF300L,286,Class 2A,Scrambler/Dirt Bike
1004,Honda CRF450L,0,honda,Honda CRF450L,449,Class 2,Scrambler/Dirt Bike
1005,Honda CRF450R,0,honda,Honda CRF450R,449,Class 2,Scrambler/Dirt Bike
1006,Honda CRF450X,0,honda,Honda CRF450X,449,Class 2,Scrambler/Dirt Bike
1007,Honda CTX700 DCT,0,honda,Honda CTX700 DCT,670,Class 2,Street Bikes
1008,Honda CTX700N,0,honda,Honda CTX700N,670,Class 2,Street Bikes
1009,Honda F6B Goldwing,0,honda,Honda F6B Goldwing,1832,Class 2,Sport Tourers
1010,Honda FJS400D SilverWing,0,honda,Honda FJS400D SilverWing,399,Class 2A,Scooters
1011,Honda Forza 125,0,honda,Honda Forza 125,125,Class 2B,Scooters
1012,Honda Forza 300,0,honda,Honda Forza 300,279,Class 2A,Scooters
1013,Honda Forza 300,0,honda,Honda Forza 300,279,Class 2A,Scooters
1014,Honda Forza 350,0,honda,Honda Forza 350,330,Class 2A,Scooters
1015,Honda Forza 750,0,honda,Honda Forza 750,745,Class 2,Scooters
1016,Honda Forza 750,0,honda,Honda Forza 750,745,Class 2,Scooters
1017,Honda GB350,0,honda,Honda GB350,348,Class 2A,Street Bikes
1018,Honda GB350S,0,honda,Honda GB350S,348,Class 2A,Street Bikes
1019,Honda GB350S,0,honda,Honda GB350S,348,Class 2A,Street Bikes
1020,Honda GL1800 Goldwing,0,honda,Honda GL1800 Goldwing,1833,Class 2,Sport Tourers
1021,Honda GL1800A Goldwing,0,honda,Honda GL1800A Goldwing,1833,Class 2,Sport Tourers
1022,Honda GLS200 Tiger,0,honda,Honda GLS200 Tiger,200,Class 2B,Street Bikes
1023,Honda Hornet 2.0,0,honda,Honda Hornet 2.0,184,Class 2B,Street Bikes
1024,Honda Monkey 125,0,honda,Honda Monkey 125,125,Class 2B,Street Bikes
1025,Honda MSX125,0,honda,Honda MSX125,124,Class 2B,Street Bikes
1026,Honda MSX125,0,honda,Honda MSX125,124,Class 2B,Street Bikes
1027,Honda NC700X,0,honda,Honda NC700X,670,Class 2,Sport Tourers
1028,Honda NC750D Integra,0,honda,Honda NC750D Integra,745,Class 2,Scooters
1029,Honda NC750S,0,honda,Honda NC750S,745,Class 2,Street Bikes
1030,Honda NC750X,0,honda,Honda NC750X,745,Class 2,Sport Tourers
1031,Honda NC750XA,0,honda,Honda NC750XA,745,Class 2,Sport Tourers
1032,Honda NC750XA,0,honda,Honda NC750XA,745,Class 2,Sport Tourers
1033,Honda NM4 Vultus,0,honda,Honda NM4 Vultus,670,Class 2,Cruiser
1034,Honda PCX125,0,honda,Honda PCX125,125,Class 2B,Scooters
1035,Honda PCX150,0,honda,Honda PCX150,149,Class 2B,Scooters
1036,Honda PCX150,0,honda,Honda PCX150,149,Class 2B,Scooters
1037,Honda PCX160,0,honda,Honda PCX160,157,Class 2B,Scooters
1038,Honda PCX160,0,honda,Honda PCX160,157,Class 2B,Scooters
1039,Honda Rebel 300,0,honda,Honda Rebel 300,286,Class 2A,Cruiser
1040,Honda Rebel 500,0,honda,Honda Rebel 500,471,Class 2,Cruiser
1041,Honda Rebel 500,0,honda,Honda Rebel 500,471,Class 2,Cruiser
1042,Honda Revo X,0,honda,Honda Revo X,110,Class 2B,Cubs
1043,Honda RR150,0,honda,Honda RR150,150,Class 2B,Street Bikes
1044,Honda RS150R Winner,0,honda,Honda RS150R Winner,150,Class 2B,Cubs
1045,Honda RS150R Winner,0,honda,Honda RS150R Winner,150,Class 2B,Cubs
1046,Honda Shadow Phantom,0,honda,Honda Shadow Phantom,745,Class 2,Cruiser
1047,Honda ST1300A Pan-European,0,honda,Honda ST1300A Pan-European,1261,Class 2,Sport Tourers
1048,Honda Super Cub C125,0,honda,Honda Super Cub C125,125,Class 2B,Cubs
1049,Honda Supra GTR150,0,honda,Honda Supra GTR150,150,Class 2B,Cubs
1050,Honda Vario 160,0,honda,Honda Vario 160,157,Class 2B,Scooters
1051,Honda VFR1200,0,honda,Honda VFR1200,1237,Class 2,Sport Bikes
1052,Honda VFR1200X Crosstourer,0,honda,Honda VFR1200X Crosstourer,1237,Class 2,Sport Tourers
1053,Honda VFR800F Interceptor,0,honda,Honda VFR800F Interceptor,782,Class 2,Sport Bikes
1054,Honda VFR800X CrossRunner,0,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers
1055,Honda Vision,0,honda,Honda Vision,108,Class 2B,Scooters
1056,Honda VT1300CX Fury,0,honda,Honda VT1300CX Fury,1312,Class 2,Cruiser
1057,Honda Wave125i,0,honda,Honda Wave125i,125,Class 2B,Cubs
1058,Honda Wave125i,0,honda,Honda Wave125i,125,Class 2B,Cubs
1059,Honda Winner X 150,0,honda,Honda Winner X 150,149,Class 2B,Cubs
1060,Honda X-Adv 750,0,honda,Honda X-Adv 750,745,Class 2,Scooters
1061,Honda X-Adv 750,0,honda,Honda X-Adv 750,745,Class 2,Scooters
1062,Honda XR650L,0,honda,Honda XR650L,644,Class 2,Scrambler/Dirt Bike
1063,Husqvarna 701 Supermoto,0,husqvarna,Husqvarna 701 Supermoto,692,Class 2,Super Motards
1064,Husqvarna FS450,0,husqvarna,Husqvarna FS450,450,Class 2,Super Motards
1065,Husqvarna Svartpilen 200,0,husqvarna,Husqvarna Svartpilen 200,199,Class 2B,Street Bikes
1066,Husqvarna Svartpilen 401,0,husqvarna,Husqvarna Svartpilen 401,373,Class 2A,Street Bikes
1067,Husqvarna Svartpilen 701,0,husqvarna,Husqvarna Svartpilen 701,692,Class 2,Street Bikes
1068,Husqvarna TE125,0,husqvarna,Husqvarna TE125,124,Class 2B,Super Motards
1069,Husqvarna Vitpilen 401,0,husqvarna,Husqvarna Vitpilen 401,373,Class 2A,Street Bikes
1070,Husqvarna Vitpilen 701,0,husqvarna,Husqvarna Vitpilen 701,693,Class 2,Street Bikes
1071,Hyosung GD250R,0,hyosung,Hyosung GD250R,249,Class 2A,Sport Bikes
1072,Hyosung GD450N,0,hyosung,Hyosung GD450N,249,Class 2A,Street Bikes
1073,Hyosung GT125P,0,hyosung,Hyosung GT125P,124,Class 2B,Street Bikes
1074,Hyosung GT125R,0,hyosung,Hyosung GT125R,124,Class 2B,Sport Bikes
1075,Hyosung GT250R,0,hyosung,Hyosung GT250R,249,Class 2A,Sport Bikes
1076,Hyosung GV125C,0,hyosung,Hyosung GV125C,124,Class 2B,Cruiser
1077,Hyosung GV650 Aquila Pro,0,hyosung,Hyosung GV650 Aquila Pro,678,Class 2,Cruiser
1078,Hyosung ST7,0,hyosung,Hyosung ST7,678,Class 2,Cruiser
1079,Indian Challenger,0,indian,Indian Challenger,1769,Class 2,Cruiser
1080,Indian Chief Dark Horse,0,indian,Indian Chief Dark Horse,1811,Class 2,Cruiser
1081,Indian Chief Vintage,0,indian,Indian Chief Vintage,1811,Class 2,Cruiser
1082,Indian Chieftain,0,indian,Indian Chieftain,1811,Class 2,Cruiser
1083,Indian Chieftain Classic,0,indian,Indian Chieftain Classic,1811,Class 2,Cruiser
1084,Indian Chieftain Dark Horse,0,indian,Indian Chieftain Dark Horse,1811,Class 2,Cruiser
1085,Indian Chieftain Limited,0,indian,Indian Chieftain Limited,1811,Class 2,Cruiser
1086,Indian Roadmaster,0,indian,Indian Roadmaster,1811,Class 2,Cruiser
1087,Indian Scout,0,indian,Indian Scout,1133,Class 2,Cruiser
1088,Indian Scout Bobber,0,indian,Indian Scout Bobber,1130,Class 2,Cruiser
1089,Indian Scout Sixty,0,indian,Indian Scout Sixty,999,Class 2,Cruiser
1090,Indian Springfield,0,indian,Indian Springfield,1811,Class 2,Cruiser
1091,Indian Springfield Dark Horse,0,indian,Indian Springfield Dark Horse,1811,Class 2,Cruiser
1092,Italjet Dragster 200,0,italjet,Italjet Dragster 200,200,Class 2B,Scooters
1093,Kawasaki Concours 14 ABS,0,kawasaki,Kawasaki Concours 14 ABS,1352,Class 2,Sport Tourers
1094,Kawasaki ER-6N,0,kawasaki,Kawasaki ER-6N,649,Class 2,Street Bikes
1095,Kawasaki EX300 Ninja,0,kawasaki,Kawasaki EX300 Ninja,296,Class 2A,Sport Bikes
1096,Kawasaki H2 SX,0,kawasaki,Kawasaki H2 SX,998,Class 2,Sport Tourers
1097,Kawasaki KLR650,0,kawasaki,Kawasaki KLR650,651,Class 2,Sport Tourers
1098,Kawasaki KLR650 Camo,0,kawasaki,Kawasaki KLR650 Camo,651,Class 2,Sport Tourers
1099,Kawasaki KLX125,0,kawasaki,Kawasaki KLX125,125,Class 2B,Scrambler/Dirt Bike
1100,Kawasaki KLX150,0,kawasaki,Kawasaki KLX150,144,Class 2B,Scrambler/Dirt Bike
1101,Kawasaki KLX250,0,kawasaki,Kawasaki KLX250,249,Class 2A,Scrambler/Dirt Bike
1102,Kawasaki Ninja 1000 ABS,0,kawasaki,Kawasaki Ninja 1000 ABS,1043,Class 2,Sport Bikes
1103,Kawasaki Ninja 125,0,kawasaki,Kawasaki Ninja 125,125,Class 2B,Sport Bikes
1104,Kawasaki Ninja 400,0,kawasaki,Kawasaki Ninja 400,399,Class 2A,Sport Bikes
1105,Kawasaki Ninja 400 KRT,0,kawasaki,Kawasaki Ninja 400 KRT,399,Class 2A,Sport Bikes
1106,Kawasaki Ninja 650 ABS,0,kawasaki,Kawasaki Ninja 650 ABS,649,Class 2,Sport Bikes
1107,Kawasaki Ninja 650 ABS KRT,0,kawasaki,Kawasaki Ninja 650 ABS KRT,649,Class 2,Sport Bikes
1108,Kawasaki Ninja H2,0,kawasaki,Kawasaki Ninja H2,998,Class 2,Sport Bikes
1109,Kawasaki Ninja H2 Carbon,0,kawasaki,Kawasaki Ninja H2 Carbon,998,Class 2,Sport Bikes
1110,Kawasaki Ninja H2 SX,0,kawasaki,Kawasaki Ninja H2 SX,998,Class 2,Sport Bikes
1111,Kawasaki Ninja H2 SX SE,0,kawasaki,Kawasaki Ninja H2 SX SE,998,Class 2,Sport Bikes
1112,Kawasaki Ninja H2R,0,kawasaki,Kawasaki Ninja H2R,998,Class 2,Sport Bikes
1113,Kawasaki Versys 1000 LT,0,kawasaki,Kawasaki Versys 1000 LT,1043,Class 2,Sport Tourers
1114,Kawasaki Versys 1000 SE LT,0,kawasaki,Kawasaki Versys 1000 SE LT,1043,Class 2,Sport Tourers
1115,Kawasaki Versys 650 ABS,0,kawasaki,Kawasaki Versys 650 ABS,649,Class 2,Sport Tourers
1116,Kawasaki Versys 650 LT,0,kawasaki,Kawasaki Versys 650 LT,649,Class 2,Sport Tourers
1117,Kawasaki Versys-X 300,0,kawasaki,Kawasaki Versys-X 300,296,Class 2A,Sport Tourers
1118,Kawasaki Vulcan 1700 Vaquero,0,kawasaki,Kawasaki Vulcan 1700 Vaquero,1700,Class 2,Cruiser
1119,Kawasaki Vulcan 1700 Voyager ABS,0,kawasaki,Kawasaki Vulcan 1700 Voyager ABS,1700,Class 2,Cruiser
1120,Kawasaki Vulcan 900 Classic,0,kawasaki,Kawasaki Vulcan 900 Classic,903,Class 2,Cruiser
1121,Kawasaki Vulcan 900 Classic LT,0,kawasaki,Kawasaki Vulcan 900 Classic LT,903,Class 2,Cruiser
1122,Kawasaki Vulcan 900 Custom,0,kawasaki,Kawasaki Vulcan 900 Custom,903,Class 2,Cruiser
1123,Kawasaki Vulcan S ABS,0,kawasaki,Kawasaki Vulcan S ABS,649,Class 2,Cruiser
1124,Kawasaki Vulcan S ABS SE,0,kawasaki,Kawasaki Vulcan S ABS SE,649,Class 2,Cruiser
1125,Kawasaki Vulcan S Cafe,0,kawasaki,Kawasaki Vulcan S Cafe,649,Class 2,Cruiser
1126,Kawasaki W175,0,kawasaki,Kawasaki W175,177,Class 2B,Classic Bikes
1127,Kawasaki W800,0,kawasaki,Kawasaki W800,773,Class 2,Street Bikes
1128,Kawasaki W800 Cafe,0,kawasaki,Kawasaki W800 Cafe,773,Class 2,Street Bikes
1129,Kawasaki W800 Special Edition,0,kawasaki,Kawasaki W800 Special Edition,773,Class 2,Classic Bikes
1130,Kawasaki Z1000 ABS,0,kawasaki,Kawasaki Z1000 ABS,1043,Class 2,Street Bikes
1131,Kawasaki Z1000 H2,0,kawasaki,Kawasaki Z1000 H2,998,Class 2,Street Bikes
1132,Kawasaki Z1000SX,0,kawasaki,Kawasaki Z1000SX,1043,Class 2,Sport Bikes
1133,Kawasaki Z125,0,kawasaki,Kawasaki Z125,125,Class 2B,Street Bikes
1134,Kawasaki Z125 Pro,0,kawasaki,Kawasaki Z125 Pro,125,Class 2B,Super Motards
1135,Kawasaki Z125 Pro KRT,0,kawasaki,Kawasaki Z125 Pro KRT,125,Class 2B,Super Motards
1136,Kawasaki Z125 Pro SE,0,kawasaki,Kawasaki Z125 Pro SE,125,Class 2B,Super Motards
1137,Kawasaki Z400,0,kawasaki,Kawasaki Z400,399,Class 2A,Street Bikes
1138,Kawasaki Z650,0,kawasaki,Kawasaki Z650,649,Class 2,Street Bikes
1139,Kawasaki Z650RS,0,kawasaki,Kawasaki Z650RS,649,Class 2,Street Bikes
1140,Kawasaki Z750,0,kawasaki,Kawasaki Z750,748,Class 2,Street Bikes
1141,Kawasaki Z800,0,kawasaki,Kawasaki Z800,806,Class 2,Street Bikes
1142,Kawasaki Z900,0,kawasaki,Kawasaki Z900,948,Class 2,Street Bikes
1143,Kawasaki Z900RS,0,kawasaki,Kawasaki Z900RS,948,Class 2,Classic Bikes
1144,Kawasaki Z900RS Cafe,0,kawasaki,Kawasaki Z900RS Cafe,948,Class 2,Classic Bikes
1145,Kawasaki ZX10R Ninja ABS,0,kawasaki,Kawasaki ZX10R Ninja ABS,998,Class 2,Sport Bikes
1146,Kawasaki ZX10R Ninja KRT,0,kawasaki,Kawasaki ZX10R Ninja KRT,998,Class 2,Sport Bikes
1147,Kawasaki ZX10R Ninja SE,0,kawasaki,Kawasaki ZX10R Ninja SE,998,Class 2,Sport Bikes
1148,Kawasaki ZX10R Performance Ninja,0,kawasaki,Kawasaki ZX10R Performance Ninja,998,Class 2,Sport Bikes
1149,Kawasaki ZX10RR Ninja,0,kawasaki,Kawasaki ZX10RR Ninja,998,Class 2,Sport Bikes
1150,Kawasaki ZX10RR Performance Ninja,0,kawasaki,Kawasaki ZX10RR Performance Ninja,998,Class 2,Sport Bikes
1151,Kawasaki ZX14R Ninja ABS,0,kawasaki,Kawasaki ZX14R Ninja ABS,1441,Class 2,Sport Bikes
1152,Kawasaki ZX6R Ninja ABS,0,kawasaki,Kawasaki ZX6R Ninja ABS,636,Class 2,Sport Bikes
1153,Kawasaki ZX6R Ninja ABS KRT,0,kawasaki,Kawasaki ZX6R Ninja ABS KRT,636,Class 2,Sport Bikes
1154,Keeway Blackster 250,0,keeway,Keeway Blackster 250,249,Class 2A,Cruiser
1155,Keeway Cityblade 125,0,keeway,Keeway Cityblade 125,125,Class 2B,Scooters
1156,Keeway Dorado 250,0,keeway,Keeway Dorado 250,249,Class 2A,Cruiser
1157,Keeway K-Light 125,0,keeway,Keeway K-Light 125,125,Class 2B,Cruiser
1158,keeway Logik 150,0,keeway,keeway Logik 150,124,Class 2B,Scooters
1159,Keeway RKF 125,0,keeway,Keeway RKF 125,125,Class 2B,Street Bikes
