,motor_name,motor_price,Brand,model,engine_cap,classification,type_of_vehicle
187,Yamaha MX King 150,11800,yamaha,Yamaha MX King 150,150,Class 2B,Cubs
188,Honda CB150R ExMotion,12800,honda,Honda CB150R ExMotion,149,Class 2B,Street Bikes
189,Yamaha Sniper 150,7800,yamaha,Yamaha Sniper 150,150,Class 2B,Cubs
190,Honda CB400X,13000,honda,Honda CB400X,399,Class 2A,Sport Tourers
191,Honda CB190R,7800,honda,Honda CB190R,184,Class 2B,Street Bikes
192,Yamaha MT-09,17800,yamaha,Yamaha MT-09,847,Class 2,Street Bikes
193,BMW R1150RT,8800,bmw,BMW R1150RT,1130,Class 2,Sport Tourers
194,Honda CB400 Super 4 Revo,9800,honda,Honda CB400 Super 4 Revo,399,Class 2A,Street Bikes
195,Suzuki Burgman 200 ABS,5800,suzuki,Suzuki Burgman 200 ABS,200,Class 2B,Scooters
196,Honda Forza 300,15800,honda,Honda Forza 300,279,Class 2A,Scooters
197,Honda CB150R ExMotion,9888,honda,Honda CB150R ExMotion,149,Class 2B,Street Bikes
198,KTM 125 Duke,11800,ktm,KTM 125 Duke,125,Class 2B,Street Bikes
199,Honda CBR500R,6800,honda,Honda CBR500R,471,Class 2,Sport Bikes
200,Ducati Scrambler 1100 Sport Pro,36300,ducati,Ducati Scrambler 1100 Sport Pro,1079,Class 2,Street Bikes
201,Yamaha YBR125,7880,yamaha,Yamaha YBR125,124,Class 2B,Street Bikes
202,Honda CB400 Super 4 Revo,19800,honda,Honda CB400 Super 4 Revo,399,Class 2A,Street Bikes
203,Yamaha MT-09 Tracer,14800,yamaha,Yamaha MT-09 Tracer,847,Class 2,Sport Tourers
204,Yamaha T135 Spark,8288,yamaha,Yamaha T135 Spark,135,Class 2B,Cubs
205,Honda CBR150R,4800,honda,Honda CBR150R,150,Class 2B,Sport Bikes
206,Yamaha MT-10,18800,yamaha,Yamaha MT-10,998,Class 2,Street Bikes
207,Honda CB190X Tourism,9000,honda,Honda CB190X Tourism,184,Class 2B,Sport Tourers
208,Ducati Hyperstrada 821,10988,ducati,Ducati Hyperstrada 821,821,Class 2,Super Motards
209,Kawasaki Z800,7500,kawasaki,Kawasaki Z800,806,Class 2,Street Bikes
210,Honda CB190R,6310,honda,Honda CB190R,184,Class 2B,Street Bikes
211,Honda VFR1200X Crosstourer,19800,honda,Honda VFR1200X Crosstourer,1237,Class 2,Sport Tourers
212,BMW R18 Classic,46800,bmw,BMW R18 Classic,1802,Class 2,Cruiser
213,Ducati Scrambler Sixty2,20000,ducati,Ducati Scrambler Sixty2,399,Class 2,Street Bikes
214,BMW R NineT Urban GS,55800,bmw,BMW R NineT Urban GS,1170,Class 2,Sport Tourers
215,Royal Enfield Continental GT,17277,royal enfield,Royal Enfield Continental GT,648,Class 2,Street Bikes
216,KTM 200 Duke,17277,ktm,KTM 200 Duke,200,Class 2B,Street Bikes
217,Honda CB400 Super 4 Revo,16800,honda,Honda CB400 Super 4 Revo,399,Class 2A,Street Bikes
218,Ducati Monster 1200,19500,ducati,Ducati Monster 1200,1198,Class 2,Street Bikes
219,Indian Springfield Dark Horse,39000,indian,Indian Springfield Dark Horse,1811,Class 2,Cruiser
220,ZongShen ZS200 Zone One S,7910,zongshen,ZongShen ZS200 Zone One S,199,Class 2B,Street Bikes
221,CFMoto 800MT Touring,34888,cfmoto,CFMoto 800MT Touring,799,Class 2,Sport Tourers
222,Yamaha YZF-R3,13800,yamaha,Yamaha YZF-R3,321,Class 2A,Sport Bikes
223,Honda CBR1000RA,27800,honda,Honda CBR1000RA,1000,Class 2,Sport Bikes
224,Honda VFR800X CrossRunner,13800,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers
225,BMW G310GS,26800,bmw,BMW G310GS,313,Class 2A,Sport Tourers
226,KTM 1190 Adventure R,19800,ktm,KTM 1190 Adventure R,1195,Class 2,Sport Tourers
227,Yamaha MT-09 Tracer,13800,yamaha,Yamaha MT-09 Tracer,847,Class 2,Sport Tourers
228,Honda CBR600RR,16800,honda,Honda CBR600RR,599,Class 2,Sport Bikes
229,Harley Davidson FLSTSB Softtail Cross Bones,29999,harley davidson,Harley Davidson FLSTSB Softtail Cross Bones,1584,Class 2,Cruiser
230,Ducati Scrambler Sixty2,19800,ducati,Ducati Scrambler Sixty2,399,Class 2A,Street Bikes
231,BMW G310R,23800,bmw,BMW G310R,313,Class 2A,Street Bikes
232,BMW R1200R,32800,bmw,BMW R1200R,1170,Class 2,Street Bikes
233,BMW F900R,37800,bmw,BMW F900R,895,Class 2,Street Bikes
234,Suzuki GSX-R1300 Hayabusa,22800,suzuki,Suzuki GSX-R1300 Hayabusa,1340,Class 2,Sport Bikes
235,Suzuki DRZ400SM,13800,suzuki,Suzuki DRZ400SM,398,Class 2A,Super Motards
236,Yamaha FZN150i,6800,yamaha,Yamaha FZN150i,149,Class 2B,Street Bikes
237,Honda CB190X Tourism,9800,honda,Honda CB190X Tourism,184,Class 2B,Sport Tourers
238,Moto Guzzi V7 III Carbon Dark,23800,moto guzzi,Moto Guzzi V7 III Carbon Dark,744,Class 2,Street Bikes
239,Yamaha YZF-R15,15000,yamaha,Yamaha YZF-R15,155,Class 2B,Sport Bikes
240,Piaggio Fly 150,8800,piaggio,Piaggio Fly 150,151,Class 2B,Scooters
241,Kawasaki Z125,9888,kawasaki,Kawasaki Z125,125,Class 2B,Street Bikes
242,Honda CB190R,8500,honda,Honda CB190R,184,Class 2B,Street Bikes
243,Yamaha MT-15,15200,yamaha,Yamaha MT-15,155,Class 2B,Street Bikes
244,KTM 390 Duke,4700,ktm,KTM 390 Duke,373,Class 2A,Street Bikes
245,Honda Rebel 500,25000,honda,Honda Rebel 500,471,Class 2,Street Bikes
246,Honda VFR1200X Crosstourer,10800,honda,Honda VFR1200X Crosstourer,1237,Class 2,Sport Tourers
247,Honda CB400F,5300,honda,Honda CB400F,399,Class 2A,Street Bikes
248,Ducati Scrambler Nightshift,31888,ducati,Ducati Scrambler Nightshift,803,Class 2,Street Bikes
249,Honda Adv 150,16288,honda,Honda Adv 150,149,Class 2B,Scooters
250,Kawasaki Z1000SX,8899,kawasaki,Kawasaki Z1000SX,1043,Class 2,Sport Bikes
251,Honda CBR150R,6888,honda,Honda CBR150R,150,Class 2B,Sport Bikes
252,Yamaha MT-15,11388,yamaha,Yamaha MT-15,155,Class 2B,Street Bikes
253,Yamaha Aerox 155,12388,yamaha,Yamaha Aerox 155,155,Class 2B,Scooters
