,motor_name,motor_price,year
454,Triumph Rocket III Roadster ABS ,41700,2016
455,Triumph Scrambler ABS ,25500,2016
456,Triumph Speed Triple ABS ,29000,2016
457,Triumph Speed Triple ABS ,30000,2016
458,Triumph Speed Triple R ABS ,35000,2016
459,Triumph Speed Triple SE ABS ,30000,2016
460,Triumph Steed Triple 675 ABS ,20300,2016
461,Triumph Street Triple 675 ABS ,21800,2016
462,Triumph Street Triple 675R ABS ,23300,2016
463,Triumph Thruxton ABS ,25500,2016
464,Triumph Tiger 1050 Sport ABS ,30200,2016
465,Triumph Tiger 1200 Explorer ABS ,39200,2016
466,Triumph Tiger 1200 Explorer Spoke ABS ,40200,2016
467,Triumph Tiger 1200 Explorer Spoke XC ABS ,41200,2016
468,Triumph Tiger 800 ABS ,28000,2016
469,Triumph Tiger 800 XC ABS ,30000,2016
470,Triumph Tiger 800XC ABS ,6767,2014
471,Triumph Trophy SE ABS ,43700,2016
472,Vespa SPRI 1978 Non,8000,-ABS
473,Yamaha Aerox 155 ABS ,5500,2018
474,Yamaha Aerox 155 ABS Connect ,12500,2021
475,Yamaha Aerox 155 ABS Connect ,5500,2022
476,Yamaha Aerox GDR155 CVT Non ABS ,12000,2018
477,Yamaha Aerox GDR155 CVT Non ABS ,13500,2020
478,Yamaha Bolt ABS ,19500,2017
479,Yamaha Bolt C-Spec ABS ,19500,2016
480,Yamaha Bolt R-Spec ABS ,19500,2017
481,Yamaha Cygnus Z Non ABS ,4800,2015
482,Yamaha Cygnus Z Non ABS ,4800,2015
483,Yamaha CZD300A/ XMAX300 ABS ,18000,2019
484,Yamaha Delight 125 ,4500,2019
485,Yamaha DT200WR Non ABS ,8000,2016
486,Yamaha Fino 115 Fi ABS ,5200,2015
487,Yamaha Fino 115 Fi ABS ,5200,2015
488,Yamaha FJ-09 ABS ,21000,2016
489,Yamaha FJR1300 ABS ,33000,2015
490,Yamaha FJR1300A ABS ,33000,2016
491,Yamaha FJR1300ES ABS ,33500,2016
492,Yamaha FZ 150 Non ABS ,6500,2016
493,Yamaha FZ 16 Non ABS ,0,2012
494,Yamaha FZ-07 ABS ,18500,2016
495,Yamaha FZ-09 ABS ,21000,2016
496,Yamaha FZ-10 ABS ,22500,2017
497,Yamaha FZ1 ABS ,19000,2015
498,Yamaha FZ16 ABS ,9400,2012
499,Yamaha FZ16ST Non ABS ,1800,2013
500,Yamaha FZ1N ABS ,20700,2015
501,Yamaha FZ1S ABS ,21200,2015
502,Yamaha FZ6R ABS ,17500,2016
503,Yamaha FZ8N ABS ,18500,2015
504,Yamaha FZ8S ABS ,19200,2015
505,Yamaha FZN150 Non ABS ,7200,2015
506,Yamaha FZN150 Non ABS ,6500,2016
507,Yamaha Jupiter MX135 Non ABS ,5000,2016
508,Yamaha Jupiter Z1 Non ABS ,4500,2015
509,Yamaha Jupiter Z1 Non ABS ,4500,2015
510,Yamaha M Slaz ABS ,6900,2017
511,Yamaha M Slaz Black Edition ABS ,7100,2018
512,Yamaha M Slaz MT-15 Red ABS ,6900,2017
513,Yamaha M Slaz MT-15 Silver ABS ,6900,2017
514,Yamaha M Slaz Orange ABS ,6900,2017
515,Yamaha Majesty S XC155 ABS ,7500,2015
516,Yamaha Majesty S XC155 ABS ,7500,2015
517,Yamaha Mio 125Fi ABS ,5200,2015
518,Yamaha MT-03 ABS (MTN320-A) ,10300,2017
519,Yamaha MT-03 ABS ,9900,2016
520,Yamaha MT-03 ABS ,9900,2017
521,Yamaha MT-07 ABS ,16800,2015
522,Yamaha MT-07 ABS ,16800,2015
523,Yamaha MT-09 ABS ,18500,2015
524,Yamaha MT-09 Street Rally ABS ,21300,2015
525,Yamaha MT-09 Tracer ABS ,21300,2016
526,Yamaha MT-09 Tracer ABS Side Case ,22800,2015
527,Yamaha MT-10 ABS ,18000,2016
528,Yamaha MT-15 Xabre M-Slaz Flo Green Edition ABS ,7500,2017
529,Yamaha MTN155 (MT-15) ABS ,6900,2021
530,Yamaha MTN155 (MT-15) ABS ,6900,2022
531,Yamaha MTN850A ABS ,18000,2017
532,Yamaha MX King T150 Manual ,0,2022
533,Yamaha MX King T150 Manual Non ABS ,11200,2018
534,Yamaha MX King T150 Manual Non ABS ,10900,2020
535,Yamaha Nmax 155 ABS ,11300,2019
536,Yamaha Nmax 155 ABS ,13500,2020
537,Yamaha Nmax 155 ABS Connect ,5500,2021
538,Yamaha Nmax 155 ABS Connect ,5500,2022
539,Yamaha R15M ABS ,7900,2021
540,Yamaha Raider ABS ,18000,2016
541,Yamaha Raider Bullet Cowl ABS ,22500,2015
542,Yamaha Raider S ABS ,22500,2015
543,Yamaha RXZ Non ABS ,11200,2010
544,Yamaha SCR950 ABS ,23000,2017
545,Yamaha Sniper T150 Non ABS ,7000,2017
546,Yamaha Sniper T150 Non ABS ,7000,2018
547,Yamaha Sniper T150 Non ABS ,5000,2020
548,Yamaha Sniper T150 Non ABS ,5100,2021
549,Yamaha Sniper T155 Keyless ABS ,5500,2021
